,Date,Price,Open,High,Low,Volume,ChangePercentFromLastMonth
330,01/23/2023,22915.5,22709.0,23161.8,22527.9,327.85K,0.91
331,01/22/2023,22707.8,22775.7,23068.7,22323.0,280.64K,-0.3
332,01/21/2023,22775.7,22677.5,23304.5,22461.1,382.69K,0.43
333,01/20/2023,22677.2,21074.9,22718.5,20879.3,373.74K,7.57
334,01/19/2023,21081.2,20670.6,21169.4,20669.7,275.76K,1.99
335,01/18/2023,20670.6,21137.1,21584.1,20448.3,388.67K,-2.21
336,01/17/2023,21137.1,21184.4,21506.4,20926.2,310.04K,-0.22
337,01/16/2023,21184.2,20880.1,21416.8,20698.9,337.46K,1.46
338,01/15/2023,20879.8,20956.0,21032.2,20585.7,205.80K,-0.37
339,01/14/2023,20958.2,19926.9,21185.6,19898.6,458.21K,5.17
340,01/13/2023,19927.0,18850.8,19981.6,18723.8,426.67K,5.71
341,01/12/2023,18851.3,17941.0,19055.3,17915.5,522.01K,5.07
342,01/11/2023,17942.3,17440.5,17989.8,17323.9,291.53K,2.89
343,01/10/2023,17439.1,17180.1,17491.0,17151.7,247.14K,1.51
344,01/09/2023,17180.1,17119.0,17390.8,17107.1,301.24K,0.36
345,01/08/2023,17119.0,16943.6,17119.0,16913.8,144.84K,1.04
346,01/07/2023,16943.6,16950.9,16979.6,16909.7,110.48K,-0.04
347,01/06/2023,16950.9,16829.8,17012.3,16707.6,233.47K,0.72
348,01/05/2023,16829.8,16852.2,16877.9,16772.3,178.96K,-0.13
349,01/04/2023,16852.1,16674.2,16976.5,16656.5,247.39K,1.07
350,01/03/2023,16674.2,16673.1,16773.2,16607.2,178.73K,0.0
351,01/02/2023,16674.3,16618.4,16766.9,16551.0,136.03K,0.34
352,01/01/2023,16618.4,16537.5,16621.9,16499.7,107.84K,0.49
353,12/31/2022,16537.4,16607.2,16635.9,16487.3,130.44K,-0.42
354,12/30/2022,16607.2,16636.4,16644.4,16360.0,192.76K,-0.18
355,12/29/2022,16636.4,16546.2,16659.1,16496.6,181.47K,0.55
356,12/28/2022,16546.2,16705.9,16781.1,16474.2,217.96K,-0.96
357,12/27/2022,16706.1,16918.2,16964.0,16610.1,192.18K,-1.25
358,12/26/2022,16918.1,16831.8,16936.1,16799.4,133.36K,0.51
359,12/25/2022,16831.8,16835.7,16852.9,16733.0,132.89K,-0.03
